"admiro,1
trabalho,7
uahuahauhaua,1
af,2
duo,1
ia,11
esquerda,56
btg,29
tendência,4
fica,15
provado,1
limites,2
coerência,2
free,1
style,1
ciro.,26
certíssimo,1
criticar,11
respeito,6
proposta,24
assembleia,3
constituinte,14
prerrogativa,1
atual,4
levaria,1
risco,7
perdermos,1
direitos,2
cláusulas,1
pétreas,1
hoje,47
.,14
ruas,5
cheias,5
mídia,8
cheia,17
omissão,5
cheio,35
orgulho,6
elenão,5
mentiras,5
xuxu,5
trejeitos,5
cinismo,6
defeitos,7
vento,5
coragem,7
jb,5
segue,13
líder,9
mirou,1
nesta,2
propõs,1
convocar,4
mesma,9
forma,14
general,4
mourão,6
vice,14
rebateu,1
sempre,23
contrário,1
governos,5
autoritários.,1
nasceu,38
ditadura,41
militar,38
formado,38
operários,38
sindicalistas,38
camponeses,38
intelectuais,38
artistas,38
religiosos,38
etc,43
colocá-lo,38
partido,66
autoritário,38
jeito,45
fazem,60
canalhice,38
gigantesca.,38
divulgado,1
números,5
candidatos,60
(de,11
acordo,13
regras,1
tse):,1
12+1,1
meirelles,77
12+3,1
12+5,1
12+6,1
12+7,1
amoêdo,30
12+18,1
12+33,1
12+39,1
achou,10
estranho,1
geraldo,16
subir,2
cair,12
?,1
bolso,10
entendo,5
semana,38
ataques,6
assim,14
acho,36
30%,1
agr,4
bizarro,1
longe,28
único,33
tocar,9
quatro,9
dialogando,9
lados,10
vez,29
furada,16
total,18
história,30
constituição,29
congresso,16
piora,17
88,16
correlação,16
forças,18
favorável,17
pobres,16
ruim,18
precisa,86
detonando,17
cima,27
bobagem,17
sobre,44
claramente,13
capacitado,6
destaca,1
meio,4
demagogismos,1
acusações,1
falácias,1
apontamentos,1
coerentes,2
responde,1
perguntado,2
fechou,8
chave,7
ouro,6
pedindo,9
polarização,19
petistas,18
fascistas,7
monstro,6
participação,8
nestas,7
#ovotonarecord,33
devo,1
entendido,5
mal,6
entao?,1
pareceu,1
ce,2
quis,4
dizer,44
centro,10
isento,1
aguentar,8
deveria,8
cotados,1
deixava,1
participar,1
rir.,1
fizeram,2
parceiro,1
antes,8
manifestação,1
5,43
pesquisar,2
pouco..,1
[30/9,4
23:41,1
fernando,8
viana,2
ciro?,4
23:43,1
saulo,2
cuzao,1
23:44,1
pprt,1
23:45,1
falso,1
neide,1
gozou,1
(,21
nós",11,
achar,11,
"reconciliação"".",11,
agride,11,
entrevistadores,11,
tapas,11,
socos,11,
negro,11,
discorda,11,
"capitão,11
mato,11
parte,37
razoável,11
eleitorado,15
nacional,13
nazista"".",11,
